wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end,kernel,bandwidth,min_samples,ridge,coef_clip,anom_clip_scale,run_id,runtime_sec
1957.5253857981336,1957.5253857981336,3810.3023890395484,38373.0,1957.5253857981336,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,tricube,6,12,0.0001,6.0,2.0,3,95.12713539996184
1811.4706087391203,1772.1262322784894,3674.5132628159768,38530.0,1772.1262322784894,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,tricube,6,12,0.0001,6.0,2.0,3,95.12713539996184
2602.3921344574064,2432.0013773095798,5358.417622172378,38798.0,2432.0013773095798,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,tricube,6,16,0.0001,6.0,2.0,4,92.42670830001589
2188.2700962083572,2191.9401982947174,4474.934758347824,38685.0,2191.9401982947174,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,tricube,6,16,0.0001,6.0,2.0,4,92.42670830001589
1958.3500204398042,1958.3500204398042,3811.3815251061606,38373.0,1958.3500204398042,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,tricube,6,16,0.0001,6.0,2.0,4,92.42670830001589
1809.5730031518578,1770.9180264750069,3672.9200420509906,38530.0,1770.9180264750069,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,tricube,6,16,0.0001,6.0,2.0,4,92.42670830001589
2501.5089874405203,2315.59100423125,4985.470710055242,38798.0,2315.5910042312494,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,tricube,8,12,0.0001,6.0,2.0,5,98.83396239997819
2171.026751436226,2177.98178141619,4453.760947872418,38685.0,2177.98178141619,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,tricube,8,12,0.0001,6.0,2.0,5,98.83396239997819
1931.5540069203867,1931.5540069203867,3753.987418084845,38373.0,1931.5540069203867,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,tricube,8,12,0.0001,6.0,2.0,5,98.83396239997819
1766.5551862517957,1738.156889942559,3596.637030867901,38530.0,1738.156889942559,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,tricube,8,12,0.0001,6.0,2.0,5,98.83396239997819
